1714056277.945644 client started (41856): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1714056277.945758 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Fri Mar 15 00:12:41 PDT 2024; root:xnu-10063.101.17~1/RELEASE_ARM64_T8103
1714056277.946140 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1714056277.951120 sending message 105 to peer 0x150028000 (28 bytes)
1714056277.951125 sending message 105 to peer 0x150028000 (23 bytes)
1714056277.951132 sending message 105 to peer 0x150028000 (560 bytes)
1714056277.951138 sending message 105 to peer 0x150028000 (19 bytes)
1714056277.951144 sending message 105 to peer 0x150028000 (20 bytes)
1714056277.951150 sending message 105 to peer 0x150028000 (22 bytes)
1714056277.951156 sending message 105 to peer 0x150028000 (20 bytes)
1714056277.951162 sending message 105 to peer 0x150028000 (18 bytes)
1714056277.951168 sending message 105 to peer 0x150028000 (57 bytes)
1714056277.951174 sending message 105 to peer 0x150028000 (11 bytes)
1714056277.951180 sending message 105 to peer 0x150028000 (19 bytes)
1714056277.951197 sending message 105 to peer 0x150028000 (14 bytes)
1714056277.951204 sending message 105 to peer 0x150028000 (54 bytes)
1714056277.951210 sending message 105 to peer 0x150028000 (33 bytes)
1714056277.951217 sending message 105 to peer 0x150028000 (61 bytes)
1714056277.951224 sending message 105 to peer 0x150028000 (8 bytes)
1714056277.951231 sending message 105 to peer 0x150028000 (43 bytes)
1714056277.951236 sending message 105 to peer 0x150028000 (30 bytes)
1714056277.951242 sending message 105 to peer 0x150028000 (37 bytes)
1714056277.951249 sending message 105 to peer 0x150028000 (34 bytes)
1714056277.951255 sending message 105 to peer 0x150028000 (85 bytes)
1714056277.951261 sending message 105 to peer 0x150028000 (35 bytes)
1714056277.951267 sending message 105 to peer 0x150028000 (26 bytes)
1714056277.951273 sending message 105 to peer 0x150028000 (16 bytes)
1714056277.951279 sending message 105 to peer 0x150028000 (53 bytes)
1714056277.951285 sending message 105 to peer 0x150028000 (62 bytes)
1714056277.951291 sending message 105 to peer 0x150028000 (67 bytes)
1714056277.951297 sending message 105 to peer 0x150028000 (31 bytes)
1714056277.951303 sending message 105 to peer 0x150028000 (16 bytes)
1714056277.951309 sending message 105 to peer 0x150028000 (10 bytes)
1714056277.951322 sending message 105 to peer 0x150028000 (26 bytes)
1714056277.951329 sending message 105 to peer 0x150028000 (12 bytes)
1714056277.951335 sending message 105 to peer 0x150028000 (22 bytes)
1714056277.951342 sending message 105 to peer 0x150028000 (25 bytes)
1714056277.951349 sending message 106 to peer 0x150028000 (0 bytes)
1714056277.951431 sending message 200 to peer 0x150028000 (4 bytes)
1714056277.951439 client loop enter
1714056277.955646 peer 0x150028000 message 207
1714056277.955662 sending message 208 to peer 0x150028000 (0 bytes)
1714056284.330472 peer 0x150028000 message 201
1714056284.330583 sending message 205 to peer 0x150028000 (0 bytes)
1714056284.331171 peer 0x150028000 message 204
1714056284.331197 client loop exit
